part,n,S,comparisons,time_seconds,time_seconds_min,repeats
c1,1000,10,9089,0.0005659999999999971,0.0005659999999999971,1
c1,5000,10,58483,0.0030019999999999977,0.0030019999999999977,1
c1,10000,10,126993,0.006874999999999999,0.006874999999999999,1
c1,50000,10,728988,0.06517400000000001,0.06517400000000001,1
c1,100000,10,1557639,0.09638699999999999,0.09638699999999999,1
c1,500000,10,9037754,0.5396540000000001,0.5396540000000001,1
c1,1000000,10,19073991,1.175281,1.175281,1
c1,5000000,10,108205471,7.597544,7.597544,1
c1,10000000,10,226415700,16.739727000000002,16.739727000000002,1
c2,1000000,2,18674918,1.2971250000000012,1.2971250000000012,1
c2,1000000,5,18728389,1.2125209999999988,1.2125209999999988,1
c2,1000000,8,19073447,1.168096999999996,1.168096999999996,1
c2,1000000,10,19073447,1.171593999999999,1.171593999999999,1
c2,1000000,13,19073447,1.1713629999999995,1.1713629999999995,1
c2,1000000,16,20225379,1.1723339999999993,1.1723339999999993,1
c2,1000000,20,20225379,1.1690339999999964,1.1690339999999964,1
c2,1000000,24,20225379,1.1723149999999976,1.1723149999999976,1
c2,1000000,32,23192394,1.238342000000003,1.238342000000003,1
c2,1000000,55,23192394,1.2380569999999977,1.2380569999999977,1
c2,1000000,64,29928194,1.4409070000000028,1.4409070000000028,1
c2,1000000,100,29928194,1.4419650000000033,1.4419650000000033,1
c2,1000000,150,44249259,1.9100269999999995,1.9100269999999995,1
c2,1000000,200,44249259,1.9139139999999983,1.9139139999999983,1
c2,1000000,300,73764800,2.9007409999999965,2.9007409999999965,1
c2,1000000,500,133862670,4.850233000000003,4.850233000000003,1
c3,10000,2,120501,0.008486400000001027,0.008451000000000874,5
c3,10000,4,120511,0.007909000000000787,0.007804000000000144,5
c3,10000,6,121542,0.007288800000000606,0.007252999999998622,5
c3,10000,8,121542,0.007329199999999503,0.007241000000000497,5
c3,10000,10,127118,0.006965999999999894,0.006925999999999988,5
c3,10000,12,127118,0.006964999999999577,0.006949999999996237,5
c3,10000,14,127118,0.006953599999998517,0.006915999999996814,5
c3,10000,16,127118,0.006946800000000053,0.006900999999999158,5
c3,10000,18,127118,0.006955400000001078,0.006913000000004388,5
c3,10000,20,143913,0.0071898000000004455,0.007152999999995302,5
c3,10000,24,143913,0.007183600000001888,0.007125000000002046,5
c3,10000,32,143913,0.0071556000000001065,0.007148999999998296,5
c3,10000,48,182955,0.008216599999997243,0.008169999999999789,5
c3,10000,64,182955,0.008196399999999927,0.008116000000001122,5
c3,50000,2,718289,0.0504800000000003,0.050361999999999796,5
c3,50000,4,718560,0.04540619999999933,0.04528799999999933,5
c3,50000,6,727546,0.043124599999998736,0.042975999999995906,5
c3,50000,8,729075,0.04275460000000066,0.042590000000004125,5
c3,50000,10,729075,0.04281059999999996,0.04262200000000149,5
c3,50000,12,759779,0.04196599999999932,0.04182600000000036,5
c3,50000,14,769509,0.04183239999999842,0.04176700000000011,5
c3,50000,16,769509,0.04192479999999961,0.0418329999999969,5
c3,50000,18,769509,0.04255339999999848,0.04182399999999831,5
c3,50000,20,769509,0.04176980000000015,0.041668999999998846,5
c3,50000,24,831771,0.04286119999999869,0.04273799999999994,5
c3,50000,32,880268,0.0438516000000007,0.04366300000000223,5
c3,50000,48,922778,0.045146400000001564,0.04504599999999925,5
c3,50000,64,1138382,0.051343599999999864,0.05127900000000096,5
c3,100000,2,1536398,0.10971579999999932,0.10676899999999989,5
c3,100000,4,1536598,0.09713719999999881,0.09686500000000109,5
c3,100000,6,1554685,0.09224119999999943,0.09183799999999565,5
c3,100000,8,1557982,0.09159740000000056,0.09129599999999982,5
c3,100000,10,1557982,0.09176559999999938,0.09146499999999946,5
c3,100000,12,1620002,0.09039800000000184,0.09018600000000276,5
c3,100000,14,1640192,0.08992739999999913,0.08970099999999093,5
c3,100000,16,1640192,0.0898965999999973,0.08970300000000009,5
c3,100000,18,1640192,0.09021620000000041,0.09001700000000312,5
c3,100000,20,1640192,0.09012959999999737,0.08985899999998992,5
c3,100000,24,1764824,0.09208160000000021,0.09161500000000444,5
c3,100000,32,1862679,0.09414960000000008,0.0936010000000067,5
c3,100000,48,1949223,0.0966464000000002,0.09630599999999845,5
c3,100000,64,2386262,0.10917459999999438,0.10898899999999401,5
c3,500000,2,8836913,0.6013209999999987,0.593118000000004,3
c3,500000,4,8863548,0.553496000000005,0.5501040000000046,3
c3,500000,6,8863548,0.5546036666666652,0.5491469999999907,3
c3,500000,8,9034600,0.5331740000000025,0.5302590000000009,3
c3,500000,10,9034600,0.5320810000000004,0.5295070000000095,3
c3,500000,12,9034600,0.531833666666671,0.5295689999999951,3
c3,500000,14,9034600,0.5326256666666657,0.5287459999999982,3
c3,500000,16,9611584,0.5307286666666661,0.527475999999993,3
c3,500000,18,9611584,0.5308053333333334,0.5272630000000049,3
c3,500000,20,9611584,0.5315036666666705,0.5290600000000012,3
c3,500000,24,9611584,0.5319980000000015,0.529445999999993,3
c3,500000,32,11095791,0.5654390000000026,0.5633169999999978,3
c3,500000,48,11095791,0.5640629999999996,0.5600280000000026,3
c3,500000,64,14463656,0.666222,0.6622200000000049,3
c3,1000000,2,18674163,1.3032399999999977,1.296605999999997,3
c3,1000000,4,18727281,1.2208640000000013,1.2154349999999994,3
c3,1000000,6,18727281,1.2214589999999959,1.2155869999999993,3
c3,1000000,8,19069458,1.1760166666666645,1.1711719999999985,3
c3,1000000,10,19069458,1.179437333333335,1.1705979999999983,3
c3,1000000,12,19069458,1.1766723333333335,1.170569999999998,3
c3,1000000,14,19069458,1.1844490000000054,1.1721940000000046,3
c3,1000000,16,20218582,1.1745073333333333,1.1687090000000069,3
c3,1000000,18,20218582,1.1760746666666648,1.169212000000016,3
c3,1000000,20,20218582,1.176130333333333,1.1706550000000107,3
c3,1000000,24,20218582,1.1764183333333165,1.171746999999982,3
c3,1000000,32,23182619,1.2429006666666567,1.2363869999999793,3
c3,1000000,48,23182619,1.242797333333338,1.2366690000000062,3
c3,1000000,64,29896719,1.4449510000000032,1.440782999999982,3
c3,5000000,2,105049527,8.472469999999987,8.397343999999975,2
c3,5000000,5,105552442,7.885642000000004,7.824520000000007,2
c3,5000000,8,105552442,7.796368999999984,7.795686999999987,2
c3,5000000,10,108204880,7.703372999999999,7.646972000000005,2
